id,time,H,P,T
0,2020-10-18 10:59:17,44,85,21.8
1,2020-10-18 10:59:18,43,50,21.7
2,2020-10-18 10:59:20,44,108,21.7
3,2020-10-18 10:59:22,44,109,21.7
4,2020-10-18 10:59:24,44,109,21.7
5,2020-10-18 10:59:26,44,110,21.7
6,2020-10-18 10:59:28,44,115,21.7
7,2020-10-18 10:59:30,44,106,21.7
8,2020-10-18 10:59:32,44,115,21.7
9,2020-10-18 10:59:34,44,109,21.7
10,2020-10-18 10:59:36,44,109,21.7
11,2020-10-18 10:59:38,44,109,21.7
12,2020-10-18 10:59:40,44,109,21.7
13,2020-10-18 10:59:42,44,111,21.7
14,2020-10-18 10:59:44,44,103,21.7
15,2020-10-18 10:59:46,44,111,21.7
16,2020-10-18 10:59:48,44,117,21.7
17,2020-10-18 10:59:50,44,115,21.7
18,2020-10-18 10:59:52,44,116,21.7
19,2020-10-18 10:59:54,44,112,21.7
20,2020-10-18 10:59:56,44,111,21.7
21,2020-10-18 10:59:58,44,108,21.7
22,2020-10-18 11:0:0,44,110,21.7
23,2020-10-18 11:0:2,44,112,21.7
24,2020-10-18 11:0:4,44,112,21.7
25,2020-10-18 11:0:6,44,107,21.7
26,2020-10-18 11:0:8,44,112,21.7
27,2020-10-18 11:0:10,44,105,21.7
28,2020-10-18 11:0:12,44,108,21.7
29,2020-10-18 11:0:14,44,108,21.7
30,2020-10-18 11:0:16,44,113,21.7
31,2020-10-18 11:0:18,44,109,21.7
32,2020-10-18 11:0:20,44,108,21.7
33,2020-10-18 11:0:22,44,108,21.7
34,2020-10-18 11:0:24,44,114,21.7
35,2020-10-18 11:0:26,44,110,21.7
36,2020-10-18 11:0:28,44,107,21.7
37,2020-10-18 11:0:30,44,116,21.7
38,2020-10-18 11:0:32,44,117,21.7
39,2020-10-18 11:0:34,44,108,21.7
40,2020-10-18 11:0:36,44,110,21.7
41,2020-10-18 11:0:38,44,109,21.7
42,2020-10-18 11:0:40,44,116,21.7
43,2020-10-18 11:0:42,44,111,21.7
44,2020-10-18 11:0:44,44,112,21.7
45,2020-10-18 11:0:46,44,109,21.7
46,2020-10-18 11:0:48,44,110,21.7
47,2020-10-18 11:0:50,44,100,21.7
48,2020-10-18 11:0:52,44,109,21.7
49,2020-10-18 11:0:54,44,113,21.7
